,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
32,0.376,0.529,4,-9.18,0,0.0489,0.666,0.451,0.642,0.21,138.03,audio_features,3Bee1YGdGePDFMx8dpNrx6,spotify:track:3Bee1YGdGePDFMx8dpNrx6,https://api.spotify.com/v1/tracks/3Bee1YGdGePDFMx8dpNrx6,https://api.spotify.com/v1/audio-analysis/3Bee1YGdGePDFMx8dpNrx6,444773,4,Part 2. Saudade
33,0.393,0.443,4,-8.484,0,0.0265,0.485,4.25e-05,0.371,0.353,84.966,audio_features,3WJGK9qI2giMx6GrF36Slq,spotify:track:3WJGK9qI2giMx6GrF36Slq,https://api.spotify.com/v1/tracks/3WJGK9qI2giMx6GrF36Slq,https://api.spotify.com/v1/audio-analysis/3WJGK9qI2giMx6GrF36Slq,261107,4,Talk Tonight
34,0.884,0.333,9,-9.753,0,0.0617,0.293,0.0205,0.103,0.587,118.065,audio_features,4cJOLN346rtOty3UPACsao,spotify:track:4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/tracks/4cJOLN346rtOty3UPACsao,https://api.spotify.com/v1/audio-analysis/4cJOLN346rtOty3UPACsao,209450,4,I Don't Know You
35,0.774,0.564,8,-11.872,0,0.0541,0.244,0.826,0.046,0.784,115.32,audio_features,4fpOXKIU9yRBoYkMhgJ24k,spotify:track:4fpOXKIU9yRBoYkMhgJ24k,https://api.spotify.com/v1/tracks/4fpOXKIU9yRBoYkMhgJ24k,https://api.spotify.com/v1/audio-analysis/4fpOXKIU9yRBoYkMhgJ24k,403640,4,Jazz Crimes
36,0.591,0.363,10,-15.324,0,0.042,0.668,0.786,0.0849,0.588,81.891,audio_features,4ixWd94e1axtBTCD619FOT,spotify:track:4ixWd94e1axtBTCD619FOT,https://api.spotify.com/v1/tracks/4ixWd94e1axtBTCD619FOT,https://api.spotify.com/v1/audio-analysis/4ixWd94e1axtBTCD619FOT,522080,4,De-Dah
37,0.526,0.918,9,-8.789,0,0.0771,0.25,4.54e-05,0.0778,0.578,164.453,audio_features,5iNr7y6iWNkwVvVeOXSLT5,spotify:track:5iNr7y6iWNkwVvVeOXSLT5,https://api.spotify.com/v1/tracks/5iNr7y6iWNkwVvVeOXSLT5,https://api.spotify.com/v1/audio-analysis/5iNr7y6iWNkwVvVeOXSLT5,262760,4,D'yer Mak'er - Remaster
38,0.456,0.609,11,-11.767,1,0.068,0.275,0.0198,0.108,0.682,84.441,audio_features,6FEKEO3y7QFcMwoGeR0GtU,spotify:track:6FEKEO3y7QFcMwoGeR0GtU,https://api.spotify.com/v1/tracks/6FEKEO3y7QFcMwoGeR0GtU,https://api.spotify.com/v1/audio-analysis/6FEKEO3y7QFcMwoGeR0GtU,209800,4,Crimson & Clover
39,0.39,0.0378,0,-30.529,0,0.0341,0.958,0.928,0.105,0.0771,76.141,audio_features,6fqGrRUaaulMJI0gLXNxFt,spotify:track:6fqGrRUaaulMJI0gLXNxFt,https://api.spotify.com/v1/tracks/6fqGrRUaaulMJI0gLXNxFt,https://api.spotify.com/v1/audio-analysis/6fqGrRUaaulMJI0gLXNxFt,108286,5,Prelude
40,0.276,0.268,11,-13.639,1,0.0323,0.951,0.645,0.0938,0.129,140.686,audio_features,6tIchKplP5X5vXQ8q5IGFS,spotify:track:6tIchKplP5X5vXQ8q5IGFS,https://api.spotify.com/v1/tracks/6tIchKplP5X5vXQ8q5IGFS,https://api.spotify.com/v1/audio-analysis/6tIchKplP5X5vXQ8q5IGFS,694520,3,Dream of The Old
41,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,75JFxkI2RXiU7L9VXzMkle,spotify:track:75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,309600,4,The Scientist
42,0.798,0.443,2,-6.062,1,0.0403,0.244,0.0,0.326,0.354,125.232,audio_features,7I6DceMT3utDOHjcYCbrr4,spotify:track:7I6DceMT3utDOHjcYCbrr4,https://api.spotify.com/v1/tracks/7I6DceMT3utDOHjcYCbrr4,https://api.spotify.com/v1/audio-analysis/7I6DceMT3utDOHjcYCbrr4,293053,4,Don't Matter
43,0.515,0.162,5,-19.181,0,0.0401,0.949,0.938,0.113,0.304,111.281,audio_features,7eMQDeixo8vmiQLSGcCDAu,spotify:track:7eMQDeixo8vmiQLSGcCDAu,https://api.spotify.com/v1/tracks/7eMQDeixo8vmiQLSGcCDAu,https://api.spotify.com/v1/audio-analysis/7eMQDeixo8vmiQLSGcCDAu,524720,4,Moanin'
44,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4,good 4 u
45,0.689,0.739,2,-5.81,1,0.026,1.51e-05,0.509,0.064,0.578,120.423,audio_features,0q6LuUqGLUiCPP1cbdwFs3,spotify:track:0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/tracks/0q6LuUqGLUiCPP1cbdwFs3,https://api.spotify.com/v1/audio-analysis/0q6LuUqGLUiCPP1cbdwFs3,233867,4,On Melancholy Hill
46,0.163,0.119,2,-19.038,1,0.0351,0.943,0.823,0.113,0.0396,81.294,audio_features,19mML4jBYAiKkmGsxp7UJF,spotify:track:19mML4jBYAiKkmGsxp7UJF,https://api.spotify.com/v1/tracks/19mML4jBYAiKkmGsxp7UJF,https://api.spotify.com/v1/audio-analysis/19mML4jBYAiKkmGsxp7UJF,1756667,4,Symphony No. 9 in D Major: I. Andante comodo
47,0.418,0.326,8,-13.65,1,0.0356,0.981,0.918,0.108,0.0913,121.134,audio_features,1CEA5YTKPDHiAYYeCYufzh,spotify:track:1CEA5YTKPDHiAYYeCYufzh,https://api.spotify.com/v1/tracks/1CEA5YTKPDHiAYYeCYufzh,https://api.spotify.com/v1/audio-analysis/1CEA5YTKPDHiAYYeCYufzh,381627,4,Crazy Quilt
48,0.0943,0.0576,1,-24.619,1,0.041,0.439,0.257,0.0784,0.0339,88.075,audio_features,1GFp56rNOImOniWfZq4mP1,spotify:track:1GFp56rNOImOniWfZq4mP1,https://api.spotify.com/v1/tracks/1GFp56rNOImOniWfZq4mP1,https://api.spotify.com/v1/audio-analysis/1GFp56rNOImOniWfZq4mP1,1285000,3,Symphony No. 9 in D Major: IV. Adagio. Sehr langsam und noch zurückhaltend
49,0.364,0.315,4,-16.273,0,0.0324,0.976,0.906,0.731,0.128,64.279,audio_features,1J6fyetsdU4lzzUnbHNqBd,spotify:track:1J6fyetsdU4lzzUnbHNqBd,https://api.spotify.com/v1/tracks/1J6fyetsdU4lzzUnbHNqBd,https://api.spotify.com/v1/audio-analysis/1J6fyetsdU4lzzUnbHNqBd,390027,4,My Favorite Things - Live
